artist_kr,artist_slug,title,medium,dimensions,date,auction_house,sale_name,lot,price,estimate,url
"김창열","kim-tschang-yeul","Water Drops S.A. 88014, 1988","oil on hemp cloth","112.0 x 161.8 cm","2024년 5월 29일","Christie's","Live Auction 21646 20th Century Day Sale","Lot 251","Bought In","HK$1,000,000–HK$2,000,000 (est)","/auction-result/7205286"
"김창열","kim-tschang-yeul","Gouttes d'eau (Water Drops), 1975","oil on hemp cloth","182.0 x 227.2 cm","2024년 5월 28일","Christie's","Live Auction 21645 20th Century Evening Sale","Lot 26","HK$5,040,000 • US$643,301","HK$4,000,000–HK$6,000,000 (est)","/auction-result/7205189"
"김창열","kim-tschang-yeul","Waterdrops, 2003","acrylic and Indian ink on newspaper laid on paper","49.8 x 33.7 cm (19 5/8 x 13 1/4 in.)","2024년 4월 19일","Phillips • London","New Now: Modern & Contemporary Art","Lot 28","£10,795 • US$13,352","£8,000–£12,000 (est)","/auction-result/7192519"
"김창열","kim-tschang-yeul","Waterdrops, 1982","acrylic and Indian ink on newspaper","53 x 20 cm. (20 7/8 x 7 7/8 in.)","2024년 3월 29일","Phillips • Hong Kong","New Now","Lot 65","HK$120,650 • US$15,415","HK$100,000–HK$120,000 (est)","/auction-result/7189019"
"김창열","kim-tschang-yeul","Water Drops, 1976","oil on hemp cloth","79.0 x 79.0 cm","2023년 11월 29일","Christie's","Live Auction 21393 20th Century Art Day Sale","Lot 219","Bought In","HK$1,500,000–HK$3,500,000 (est)","/auction-result/7173287"
"김창열","kim-tschang-yeul","Untitled (Waterdrop)","oil on leaf mounted on card","20.8 x 8.6 cm","2023년 11월 28일","Sotheby's","Art Moderne et Contemporain Day Auction","Lot 107","€8,890 • US$9,568","€6,000–€9,000 (est)","/auction-result/7174809"
"김창열","kim-tschang-yeul","Colorplate 75, 1988","oil on canvas","160 x 129.5 cm. (62 7/8 x 50 7/8 in.)","2023년 10월 7일","Phillips • Hong Kong","20th Century & Contemporary Art Day Sale","Lot 174","HK$762,000 • US$97,294","HK$600,000–HK$700,000 (est)","/auction-result/7159373"
"김창열","kim-tschang-yeul","Recurrence SP201401, 2013","acrylic and oil on canvas","195 x 160.4 cm. (76 3/4 x 63 1/8 in.)","2023년 10월 7일","Phillips • Hong Kong","20th Century & Contemporary Art Day Sale","Lot 173","Bought In","HK$800,000–HK$1,200,000 (est)","/auction-result/7159372"
"김창열","kim-tschang-yeul","Waterdrops BV 83020, 1983","oil on hemp cloth","150.3 x 40.0 cm","2023년 6월 29일","Christie's","Live Auction 21887 Post-War and Contemporary Art Day Sale","Lot 168","Bought In","£60,000–£80,000 (est)","/auction-result/7145560"
"김창열","kim-tschang-yeul","Waterdrops BV 83020, 1983","oil on hemp cloth","150 x 40 cm","2023년 6월 29일","Christie's","Post-War and Contemporary Art Day Sale","Lot 168","","£60,000–£80,000 (est)","/auction-result/7140232"
"김창열","kim-tschang-yeul","Recurrence","Colour lithograph","72.0 x 102.0 cm","2023년 6월 26일","Bonhams","Prints and Multiples","Lot 94","Bought In","€1,200–€1,800 (est)","/auction-result/7150710"
"김창열","kim-tschang-yeul","Recurrence PK99002, 1996","acrylic and oil on canvas","162.0 x 130.5 cm","2023년 5월 29일","Christie's","Live Auction 21394 20th Century Art Day Sale","Lot 242","HK$819,000 • US$104,534","HK$800,000–HK$1,200,000 (est)","/auction-result/7133105"
"김창열","kim-tschang-yeul","Waterdrops No.16, 1977","oil on hemp cloth","195.0 x 162.0 cm","2023년 5월 28일","Christie's","Live Auction 21389 20th/21st Century Art Evening Sale","Lot 75","HK$5,040,000 • US$643,518","HK$5,000,000–HK$8,000,000 (est)","/auction-result/7134347"
"김창열","kim-tschang-yeul","Water Drops, 1998","acrylic and oil on canvas","162.0 x 130.0 cm","2023년 4월 6일","Sotheby's","Contemporary Day Auction","Lot 513","HK$1,016,000 • US$129,429","HK$750,000–HK$950,000 (est)","/auction-result/7111178"
"김창열","kim-tschang-yeul","Water Drops, 1986","oil on canvas","72.8 x 59.8 cm. (28 5/8 x 23 1/2 in.)","2023년 3월 31일","Phillips • Hong Kong","20th Century & Contemporary Art Day Sale","Lot 129","HK$533,400 • US$67,949","HK$350,000–HK$450,000 (est)","/auction-result/7091831"
"김창열","kim-tschang-yeul","Untitled (Waterdrop)","oil on tree leaf mounted on card","20.8 x 8.6 cm","2023년 3월 30일","Sotheby's • Paris","Contemporary Curated","Lot 79","","€8,000–€12,000 (est)","/auction-result/7139168"
"김창열","kim-tschang-yeul","Untitled (Waterdrop)","oil on tree leaf mounted on card","20.8 x 8.6 cm","2023년 3월 21일","Sotheby's","Contemporary Curated","Lot 79","Bought In","€8,000–€12,000 (est)","/auction-result/7151222"
"김창열","kim-tschang-yeul","Waterdrop, 1974","Mixed media on canvas","73 x 54 cm","2022년 12월 7일","Artcurial","Post-War & Contemporary Art","Lot 612","€57,414 • US$60,099","€30,000–€40,000 (est)","/auction-result/7072179"
"김창열","kim-tschang-yeul","Water Drops, 1974","Mixed media on canvas","55 x 38 cm","2022년 12월 7일","Artcurial","Post-War & Contemporary Art","Lot 613","€54,680 • US$57,237","€20,000–€30,000 (est)","/auction-result/7072178"
"김창열","kim-tschang-yeul","Waterdrop Series ENS 50, 1978","oil on hemp cloth","73 x 60 cm","2022년 12월 1일","Christie's","Live Auction 19902 20th Century Art Day Sale","Lot 233","HK$1,134,000 • US$145,293","HK$700,000–HK$900,000 (est)","/auction-result/7045882"
"김창열","kim-tschang-yeul","Waterdrops SH 83003, 1983","oil on hemp cloth","130.2 x 195 cm","2022년 10월 13일","Christie's","Live Auction 20666 20th/21st Century: London Evening Sale","Lot 43","£226,800 • US$251,763","£200,000–£300,000 (est)","/auction-result/7027177"
"김창열","kim-tschang-yeul","Récurrence, 2008","Etching, hand-coloring","76 x 56 cm","2022년 7월 15일","SBI Art Auction","BID FOR SUMMER","Lot 306","Bought In","JPY ¥1,800,000–¥2,800,000 (est)","/auction-result/6988989"
"김창열","kim-tschang-yeul","Recurrence CTM818, 1981","oil and ink on canvas","72.5 x 59.7 cm. (28 1/2 x 23 1/2 in.)","2022년 6월 21일","Phillips • Hong Kong","20th Century & Contemporary Art & Design Day Sale","Lot 173","HK$630,000 • US$80,255","HK$250,000–HK$450,000 (est)","/auction-result/6904734"
"김창열","kim-tschang-yeul","Water Drop No.2M, 1978","oil on canvas","182 x 228 cm","2022년 5월 26일","Christie's","20th/21st Century Art Evening Sale","Lot 43","HK$7,056,000 • US$898,882","HK$3,800,000–HK$5,800,000 (est)","/auction-result/6875901"
"김창열","kim-tschang-yeul","Waterdrop, 1983","oil on hemp","27 x 19 cm","2022년 4월 28일","Sotheby's","Contemporary Day Auction","Lot 571","HK$567,000 • US$72,261","HK$350,000–HK$550,000 (est)","/auction-result/6941027"
"김창열","kim-tschang-yeul","Composition with waterdrops, 1978","oil on hemp cloth","98.1 x 74 cm","2022년 3월 3일","Sotheby's","Modern & Contemporary Day Auction","Lot 456","£252,000 • US$337,595","£80,000–£120,000 (est)","/auction-result/6652888"
