작가명,작품명,actual_krw,predicted_krw,ape,ratio,ho,career_stage,support_type
시즈,Tempest in a fleeting moment,9600000.0,6467699.364549696,0.32628131619274,0.6737186838072601,80,2,canvas
주연수,A figure wearing layers of memory,6825320.0,1973406.2908782284,0.710869777405568,0.28913022259443194,15,3,linen
주연수,Dedicated to Bergson; Wanderer,19500900.0,9000715.948977515,0.5384461256158682,0.46155387438413176,150,3,linen
서도이,"오, 사랑",300000.0,499491.5867192887,0.6649719557309625,1.6649719557309623,2,2,paper
오승경,Mystifying Light,6500000.0,3931306.665406288,0.39518358993749414,0.6048164100625059,50,3,canvas
박한지,Crazy flower 20,3000000.0,3710165.07986553,0.23672169328851003,1.2367216932885101,20,3,canvas
정지윤,그리운 자리2,1500000.0,1585127.9710632784,0.056751980708852255,1.0567519807088523,8,2,paper
정상희,반영의 숨,1100000.0,2817943.9868881367,1.561767260807397,2.561767260807397,15,3,canvas
이펄,연결된 모든 길의 하나의 나무로 이루어질 때,2400000.0,4367490.860380515,0.8197878584918814,1.8197878584918814,60,2,paper
이재복,where’s my cap,2000000.0,1274128.234661579,0.36293588266921056,0.6370641173307895,10,3,canvas
이유지,염원의 쉼터 7,1400000.0,1335345.918217033,0.046181486987833635,0.9538185130121664,10,2,canvas
이다연,살짝,1200000.0,1391654.7799856418,0.15971231665470154,1.1597123166547014,15,2,canvas
조정은,"Honey, a lovely place isn't it",1000000.0,1207209.5870824584,0.20720958708245843,1.2072095870824584,10,2,canvas
Jooha Sim,Our summer garden Painting,2503950.0,2508623.4524690188,0.0018664320250079889,1.001866432025008,20,3,paper
Jooha Sim,I Want You To Bloom A Flower In Your Fantasy Painting,11329120.0,7464902.288594398,0.34108719047954317,0.6589128095204568,100,3,paper
로지박,Fragments of Thought Painting,3788400.0,4013684.751725205,0.05946699179738286,1.059466991797383,40,3,paper
김미현,Cinderella's dream Painting,3102880.0,3896418.98756718,0.25574272532846254,1.2557427253284625,40,2,canvas
김미현,Before sunrise Painting,828400.0,1227721.22105125,0.48203913695225725,1.4820391369522572,4,2,canvas
홍순용(Soonyong Hong),The move in balance (no.2022-42) Painting,3939940.0,4519833.40773028,0.14718330932204055,1.1471833093220405,40,3,canvas
성낙진,Plastic bag girl 2 Painting,1808329.6,2400960.4616125403,0.3277228120429706,1.3277228120429705,10,3,canvas
성낙진,"If You Know What State I’m In, That’s a Relief Painting",16705040.0,15289552.450901646,0.08473416101358355,0.9152658389864164,100,3,canvas
아리라최,Siesta Painting,5528900.2,4741931.640396787,0.14233726982505732,0.8576627301749427,40,4,canvas
박한지,Line mountain Painting,8118000.0,7075213.084216041,0.12845367279920664,0.8715463272007934,50,3,canvas
서도이,엉망진창 원더랜드,5000000.0,6802525.784993632,0.3605051569987264,1.3605051569987263,100,2,canvas
양민희,Coastal Red-2507,10000000.0,13962112.743037378,0.3962112743037378,1.3962112743037378,100,3,canvas
김희조,hope,14432000.0,7051357.819988605,0.5114081333156455,0.48859186668435456,100,2,canvas
김재이,coco & jelly,2250000.0,7252774.290892486,2.2234552403966608,3.2234552403966608,25,3,canvas
이주희,오래도록 시선이 머문,4983369.600000001,5296560.197769289,0.06284715421655426,1.0628471542165543,50,3,paper
박지은,A little talk-Paris,5000000.0,2372261.7433895087,0.5255476513220982,0.47445234867790176,15,3,paper
유재연,The Lake,1800000.0,779691.0181880234,0.566838323228876,0.4331616767711241,3,3,canvas
김봄이,인생은 저 사람처럼,400000.0,766360.1506729913,0.9159003766824783,1.9159003766824783,2,2,silk
이은정,"HITCH, KNOTS, FRICTION",45000000.0,13168057.159653325,0.7073765075632594,0.2926234924367406,500,2,canvas
이은정,UMWELT,4500000.0,3500416.3784044804,0.22212969368789323,0.7778703063121067,60,2,canvas
정재희,inner sight,1500000.0,3142329.2123494786,1.0948861415663191,2.094886141566319,20,2,other
서예지,꿈 속의 왕국,500000.0,1168487.524139627,1.3369750482792542,2.336975048279254,0,3,paper
황현승,untitled,1800000.0,2704100.7499425863,0.502278194412548,1.5022781944125478,12,3,paper
조이스진,여기 뭐가 있지?,3800000.0,3875450.966899517,0.019855517605136052,1.019855517605136,30,2,canvas
진희원,신기루,2000000.0,15059082.280550836,6.529541140275418,7.529541140275418,100,3,canvas
박소희,CUT 01,1500000.0,1603241.9477034907,0.06882796513566049,1.0688279651356605,10,2,silk
