,,,,,,,,,,,,,
,idx,재료(지지체),도구(매체),건수,,idx,수집 재료,건수,난트 기준 재료(지지체),난트 기준 도구(매체),비고,비고2,비고3
,,,,,,198,"오프셋 프린트, 실크스크린(사후판화)",30,종이,"오프셋 프린트, 실크스크린",,,
,,,,,,199,종이에 크레용,29,종이,오일 파스텔,,,
,,,,,,200,charcoal paint on paper,29,종이,목탄,,,
,,,,,,201,지본탁본,29,종이,기타,분류 미매칭,학습 제외,
,,,,,,202,"디지털 피그먼트 프린트, 실크스크린",29,종이,실크스크린,,,
,,,,,,203,pigment print on fresco giclee paper,28,종이,디지털 피그먼트 프린트,,,
,,,,,,204,판화,28,종이,판화,,학습 제외,
,,,,,,205,"오프셋 석판화, 실크스크린",28,종이,"오프셋 프린트, 실크스크린",,,
,,,,,,206,목판에 혼합재료,28,종이,"목판, 혼합재료",,,
,,,,,,207,pen on paper,28,종이,펜,,,
,,,,,,208,합판캔버스에 유채,28,캔버스,유채,,,
,,,,,,209,"캔버스에 실크스크린, 혼합재료",28,캔버스,실크스크린,,,
,,,,,,210,color on Korean paper relief,27,종이,채색,,,
,,,,,,211,gouache on paper,27,종이,수채,,,
,,,,,,212,종이에 탁본,27,종이,기타,분류 미매칭,학습 제외,
,,,,,,213,digital print,27,종이,디지털 프린트,,,
,,,,,,214,"PVC, 합금, 크리스탈",26,없음,조각,,,
,,,,,,215,"캐스트 레진, 산화 알루미늄",26,금속,조각,,,
,,,,,,216,gelatin silver print,26,종이,젤라틴 실버 프린트,분류 미매칭,,
,,,,,,217,oil on wooden panel,26,패널,유채,,,
,,,,,,218,offset color lithograph,26,종이,"오프셋, 석판",,,
,,,,,,219,채색목판화,26,종이,목판,,,
,,,,,,220,한지부조에 혼합재료,26,한지,혼합재료,,,
,,,,,,221,"아카이벌 피그먼트 프린트, 실크스크린",26,종이,"디지털 피그먼트 프린트, 실크스크린",,,
,,,,,,222,woodcut,25,종이,목판,,,
,,,,,,223,린넨에 아크릴,25,캔버스,아크릴릭,,,
,,,,,,224,"에칭, 탄화규소",25,종이,"에칭, 카보런덤",,탄화규소=카보런덤,
,,,,,,225,순지에 암채,24,종이,채색,,,
,,,,,,226,"캔버스에 모래, 유채",24,캔버스,"유채, 모래",,,
,,,,,,227,폴리스톤,24,없음,조각,,,
,,,,,,228,캐스트 비닐 레진에 채색,24,기타,채색,,학습 제외 ,
,,,,,,229,테라코타,24,없음,도자,,,
,,,,,,230,오프셋 석판화(사후판화),24,종이,오프셋 프린트,,,
,,,,,,231,은 Silver,24,기타,기타,분류 미매칭,학습 제외(입체),
,,,,,,232,oil stick and acrylic on canvas,24,캔버스,"오일스틱, 아크릴릭",,,
,,,,,,233,edge handcoloring on gicleeprint,24,종이,지클레이 프린트,핸드 컬러링(프리미엄 요소),,
,,,,,,234,석판화(사후판화),24,종이,석판,,,
,,,,,,235,종이부조에 혼합재료,24,종이,혼합재료,,,
,,,,,,236,프린트,23,종이,디지털 프린트,,,
,,,,,,237,한지에 수묵채색,23,한지,"수묵, 채색",,,
,,,,,,238,acrylic and oil pastel on canvas,23,캔버스,"오일 파스텔, 아크릴릭",,,
,,,,,,239,pastel on paper,23,종이,파스텔,,,
,,,,,,240,"acrylic on canvas, speaker",23,캔버스,아크릴릭,,학습 제외,
,,,,,,241,painting on wood,23,없음,목공예,,,
,,,,,,242,종이에 목판인쇄,23,종이,목판,,,
,,,,,,243,종이에 수묵담채/ 액자,23,종이,수묵,,,
,,,,,,244,"캔버스에 수묵담채, 혼합재료",23,캔버스,수묵,,,
,,,,,,245,"캔버스에 아크릴, 페인트",23,캔버스,아크릴릭,,,
,,,,,,246,"천에 아크릴, 수묵",23,캔버스,"아크릴릭, 수묵",,,
,,,,,,247,Korean ink and mixed media on canvas,22,캔버스,수묵,,,
,,,,,,248,브론즈에 아크릴,22,기타,아크릴릭,,학습 제외 ,
,,,,,,249,종이에 잉크,22,종이,수묵,분류 미매칭,,
,,,,,,250,painted cast vinyl,22,없음,조각,,,
,,,,,,251,천에 수묵담채,22,캔버스,수묵,,,
,,,,,,252,acrylic on linen,22,캔버스,아크릴릭,,,
,,,,,,253,print,22,기타,기타,분류 미매칭,학습 제외,
,,,,,,254,marker on paper,22,종이,마커,,,
,,,,,,255,하드보드지에 유채,22,보드,유채,,,
,,,,,,256,"석판화, 세리그라프",22,종이,"석판, 실크스크린",,세리그라피=실크스크린,
,,,,,,257,견에 수묵채색,21,비단,수묵,,,
,,,,,,258,나무에 유채,21,목재,유화,,학습 제외,
,,,,,,259,캔버스 위 종이에 채색,21,캔버스,채색,,,
,,,,,,260,종이에 그라파이트,21,종이,흑연,,,
,,,,,,261,청동,21,없음,조각,,,
,,,,,,262,나무에 금속장식,21,없음,목공예,,,
,,,,,,263,종이에 채색 Color on Paper,21,종이,채색,,,
,,,,,,264,colored pencil on paper,21,종이,색연필,,,
,,,,,,265,carved and colored on wood,21,없음,조각,,,
,,,,,,266,oil on hardboard,21,보드,유채,,,
,,,,,,267,신문지에 유채,21,인쇄물,유채,,,
,,,,,,268,종이에 먹/액자,21,종이,수묵,,,
,,,,,,269,2.5D ink injection print,21,종이,디지털 프린트,,,
,,,,,,270,알루미늄 패널에 지클레이 프린트,21,알루미늄 패널,지클레이 프린트,,,
,,,,,,271,"아카이벌 피그먼트 프린트, 엠보싱",21,종이,"디지털 피그먼트 프린트, 엠보싱",,,
,,,,,,272,wooden charcoal on canvas,20,캔버스,목탄,,,
,,,,,,273,"나무에 각, 채색",20,목재,채색,,,
,,,,,,274,"메조틴트, 드라이포인트",20,종이,"메조틴트, 드라이포인트",,,
,,,,,,275,"종이에 펜, 색연필",20,종이,"펜, 색연필",,,
,,,,,,276,"종이에 연필, 색연필",20,종이,"연필, 색연필",,,
,,,,,,277,"종이에 수채, 펜",20,종이,수채,,,
,,,,,,278,acrylic on cardboard,20,종이,아크릴릭,,,
,,,,,,279,"종이에 연필, 수채",20,종이,수채,,,
,,,,,,280,곱돌,20,기타,기타,분류 미매칭,학습 제외(입체),
,,,,,,281,면포에 닥종이,20,종이,기타,분류 미매칭,천에 종이,유사 방식의 단색화 + 마띠에르 관련 작가 분류로 생각해야 할듯
,,,,,,282,mixed media on wooden panel,19,목재,혼합재료,,,
,,,,,,283,종이에 사인펜,19,종이,사인펜,,,
,,,,,,284,비단에 수묵 Ink on Silk,19,비단,수묵,,,
,,,,,,285,drypoint,19,종이,드라이포인트,,,
,,,,,,286,두방지에 먹,19,종이,수묵,,,
,,,,,,287,나무 패널에 혼합재료,19,목재,혼합재료,,,
,,,,,,288,캔버스에 오일파스텔,19,캔버스,오일 파스텔,,,
,,,,,,289,핸드페인팅 종이컷,19,종이,기타,분류 미매칭,종이 컷아웃,"컷아웃은 재료가 아닌 기법, 종이에 컷아웃 X 종이 컷아웃"
,,,,,,290,오프셋 프린트 위에 실크스크린,19,종이,"오프셋 프린트, 실크스크린",,,
,,,,,,291,종이에채색,18,종이,채색,,,
,,,,,,292,세리그래프,18,종이,실크스크린,,,
,,,,,,293,"석판화, 실크스크린",18,종이,"석판, 실크스크린",,,
,,,,,,294,장지에 유채,18,장지,유채,,,
,,,,,,295,종이에 수묵채색 Ink and Color on Paper,18,종이,수묵,,,
,,,,,,296,ink on Korean paper,18,종이,수묵,,,
,,,,,,297,pencil and color on paper,18,종이,채색,,,
