artist_name_ko,medium_category,support_category,has_depth,depth_cm,width_cm,height_cm,log_area,estimated_ho,orientation,price_krw_unified,ln_price_krw_unified
최수앙,oil,other,1,58.0,117.0,31.0,8.196161139282902,15.92,landscape,27600000.0,17.133326330687378
이병호,other,other,1,121.0,217.0,175.0,10.544683327463972,143.74,landscape,71760000.0,18.088837775714815
김한을,other,other,0,0.0,30.0,13.0,5.966146739123692,1.3,landscape,15180000.0,16.535489329931757
김규,other,panel,1,21.0,20.0,21.0,6.040254711277414,1.59,square,759000.0,13.539757056377766
함도하,other,paper,1,17.0,35.0,35.0,7.110696122978827,5.78,square,5244000.0,15.472595123865728
함도하,other,other,1,40.0,55.0,35.0,7.562681246721884,8.58,landscape,9108000.0,16.024663706165768
이병호,other,panel,1,116.0,201.0,75.0,9.620793021595386,73.27,landscape,33120000.0,17.315647887481333
감성빈,oil,other,0,0.0,34.0,34.0,7.052721049232323,5.59,square,2500000.0,14.73180128983843
정현철,other,panel,1,66.0,130.0,100.0,9.472704636443671,61.97,landscape,11040000.0,16.217035598813222
류예준,other,other,1,21.0,35.0,21.0,6.5998704992128365,3.65,landscape,1656000.0,14.319915613927344
정현철,other,panel,1,48.0,57.0,31.0,7.477038472319696,8.12,landscape,8280000.0,15.929353526361442
이병호,other,other,1,24.0,50.0,32.0,7.377758908227872,7.41,landscape,5520000.0,15.52388841825328
함도하,other,other,1,40.0,55.0,35.0,7.562681246721884,8.58,landscape,9108000.0,16.024663706165768
함도하,other,metal,1,70.0,140.0,80.0,9.323669057283183,52.84,landscape,52440000.0,17.775180216859773
김규,other,panel,1,88.9,86.4,88.9,8.946499818329869,37.54,square,4830000.0,15.390357025628756
정현철,other,paper,1,42.0,98.0,78.0,8.941676305360163,37.28,landscape,9660000.0,16.0835042061887
백진기,other,other,0,0.0,27.0,104.5,7.945023937409195,11.33,portrait,3450000.0,15.053884789007542
도준나,other,other,1,43.0,33.0,43.0,7.257707677160043,6.56,portrait,855600.0,13.659558256190389
김도희,other,metal,1,39.0,20.0,39.0,6.659293919683638,3.86,portrait,5106000.0,15.445926876783568
송연,other,panel,1,4.1,19.1,14.1,5.5958631324367065,0.16,landscape,883200.0,13.691306954504968
김한을,other,other,0,0.0,37.0,33.0,7.107425474110705,5.77,landscape,15180000.0,16.535489329931757
서지인,other,other,1,20.0,22.0,15.0,5.799092654460526,0.73,landscape,1380000.0,14.137594057133388
이병호,acrylic,other,1,25.0,47.0,45.0,7.656810091480378,9.14,square,6072000.0,15.619198598057602
정현철,other,paper,1,25.0,36.0,28.0,6.915723448631314,5.17,landscape,1380000.0,14.137594057133388
백진기,other,other,1,32.0,39.0,12.5,6.189290290437902,2.19,landscape,4692000.0,15.361369488755503
김아라,acrylic,canvas,0,0.0,130.3,193.3,10.134082870345084,119.62,portrait,4800000.0,15.38412647587812
최수앙,oil,other,1,35.0,27.0,33.0,6.792344427470809,4.58,portrait,22080000.0,16.91018277937317
이재윤,ink,other,1,30.0,60.0,47.0,7.944492163932159,11.32,landscape,6900000.0,15.747031969567487
도준나,other,other,1,22.0,25.0,18.0,6.1092475827643655,1.89,landscape,855600.0,13.659558256190389
김시영,oil,other,0,0.0,50.0,51.0,7.843848638152472,10.45,square,69000000.0,18.049617062561538
이규영,pigment,other,1,55.0,60.0,50.0,8.006367567650246,11.9,landscape,3036000.0,14.926051417497655
홍미희,acrylic,canvas,1,7.0,20.0,20.0,5.991464547107982,1.4,square,600000.0,13.304684934198283
노준,other,panel,1,22.0,31.5,25.0,6.668863370699788,3.9,landscape,5520000.0,15.52388841825328
김성민,other,metal,1,11.0,102.0,46.0,8.453614209773367,21.74,landscape,5520000.0,15.52388841825328
함도하,other,metal,1,70.0,140.0,80.0,9.323669057283183,52.84,landscape,52440000.0,17.775180216859773
김아라,acrylic,canvas,1,5.2,19.3,15.2,5.68140052376307,0.39,landscape,800000.0,13.592367006650065
유의정,other,other,1,17.5,22.0,22.0,6.182084906716632,2.16,square,5520000.0,15.52388841825328
김병진,other,other,1,21.0,63.0,45.0,7.949797216161852,11.37,landscape,6900000.0,15.747031969567487
노준,other,other,1,52.0,69.0,48.0,8.10530751550515,14.01,landscape,20700000.0,16.8456442582356
강민기,other,other,1,20.0,40.0,40.0,7.377758908227872,7.41,square,8280000.0,15.929353526361442
김규,other,panel,1,16.0,17.5,16.0,5.634789603169249,0.26,square,690000.0,13.444446876573442
이재윤,ink,other,1,28.0,64.0,28.0,7.491087593534876,8.2,landscape,6900000.0,15.747031969567487
윤주동,other,other,1,119.4,119.4,119.4,9.564958401917004,68.81,square,16560000.0,16.62250070692139
황규민,other,other,1,12.0,36.0,11.0,5.981414211254481,1.36,landscape,455400.0,13.028931432611776
김규,other,panel,1,17.0,17.0,17.0,5.666426688112432,0.35,square,690000.0,13.444446876573442
정현철,other,panel,1,36.0,52.0,48.0,7.822444729489319,10.27,square,2070000.0,14.543059165241552
이규영,pigment,other,1,70.0,75.0,30.0,7.718685495198466,9.53,landscape,3036000.0,14.926051417497655
남춘모,other,other,0,0.0,30.0,21.5,6.4692503167957724,3.21,landscape,5244000.0,15.472595123865728
김시영,other,other,0,0.0,37.0,30.0,7.01211529430638,5.46,landscape,33120000.0,17.315647887481333
정현철,other,paper,1,35.0,51.0,48.0,7.803026643632217,10.12,square,4140000.0,15.236206345801495
최문석,other,panel,1,20.0,52.0,39.0,7.614805364711073,8.88,landscape,5244000.0,15.472595123865728
서지인,other,other,1,18.0,27.0,13.0,5.860786223465865,0.93,landscape,2070000.0,14.543059165241552
최수앙,pigment,paper,1,31.0,72.0,39.0,7.940227765145702,11.28,landscape,14352000.0,16.479399863280715
도준나,other,other,1,23.0,35.0,23.0,6.690842277418564,3.98,landscape,662400.0,13.403624882053188
양승원,other,metal,1,15.0,90.0,110.0,9.20029003612268,47.2,portrait,8832000.0,15.993892047499012
김규,other,panel,0,0.0,26.0,27.0,6.553933404025811,3.49,square,1242000.0,14.03223354147556
강재원,other,other,1,35.0,57.0,29.0,7.410347097821024,7.66,landscape,11040000.0,16.217035598813222
김한을,other,other,0,0.0,33.0,15.0,6.20455776256869,2.24,landscape,15180000.0,16.535489329931757
김아라,acrylic,canvas,1,8.5,16.0,39.4,6.44635453854367,3.14,portrait,1200000.0,13.997832114758229
함도하,other,other,1,25.0,120.0,60.0,8.881836305004146,34.16,landscape,27600000.0,17.133326330687378
김도희,other,metal,1,34.0,15.0,34.0,6.234410725718371,2.35,portrait,3726000.0,15.13084583014367
송유정,other,other,1,50.0,65.0,50.0,8.086410275323782,13.57,landscape,6900000.0,15.747031969567487
이병호,other,other,1,21.0,24.0,21.0,6.222576268071369,2.3,landscape,3864000.0,15.167213474314543
최수앙,other,metal,1,25.0,16.5,25.0,6.022236205774735,1.52,portrait,5520000.0,15.52388841825328
노준,other,other,1,12.0,69.0,34.0,7.76046702921342,9.81,landscape,24840000.0,17.027965815029553
함도하,other,panel,1,65.0,150.0,56.0,9.035986984831403,41.42,landscape,16560000.0,16.62250070692139
해청 정정묵,other,other,0,0.0,20.0,30.0,6.396929655216146,3.0,portrait,4140000.0,15.236206345801495
감성빈,oil,other,0,0.0,34.0,34.0,7.052721049232323,5.59,square,2500000.0,14.73180128983843
송유정,other,other,1,11.0,35.0,20.0,6.551080335043404,3.48,landscape,1380000.0,14.137594057133388
노준,other,other,1,18.0,38.0,24.0,6.815639990074331,4.73,landscape,27600000.0,17.133326330687378
박기,other,metal,1,39.0,49.0,20.5,6.9122451842549895,5.16,landscape,19320000.0,16.776651386748647
이펄,watercolor,panel,1,3.0,59.0,56.0,8.102889134640868,13.96,square,724500.0,13.493237040742876
양승원,other,metal,1,60.0,195.0,50.0,9.185022563991891,46.62,landscape,13524000.0,16.419976442809915
왕현민,other,other,1,80.0,120.0,40.0,8.476371196895983,22.4,landscape,10579080.0,16.174389024091752
송연,other,panel,1,1.0,13.2,20.3,5.590837715640067,0.15,portrait,662400.0,13.403624882053188
송유정,other,other,1,32.0,23.0,23.0,6.270988431858299,2.48,square,2622000.0,14.779447943305785
최문석,acrylic,metal,1,140.0,140.0,140.0,9.883284845218608,93.64,square,38640000.0,17.46979856730859
정현철,other,panel,1,53.0,48.0,50.0,7.783224016336037,9.97,square,6900000.0,15.747031969567487
노준,other,panel,1,20.0,63.0,39.0,7.806696372521179,10.15,landscape,12420000.0,16.334818634469606
김아라,acrylic,panel,1,20.0,150.0,28.0,8.34283980427146,18.92,landscape,3500000.0,15.068273526459642
노준,other,other,1,80.0,120.0,32.0,8.253227645581772,17.04,landscape,10350000.0,16.15249707767565
이종빈,other,other,1,16.5,18.5,15.0,5.625820933186489,0.24,landscape,4416000.0,15.300744866939068
정길영,mixed,other,0,0.0,44.0,45.0,7.590852123688581,8.74,square,3864000.0,15.167213474314543
강동현,other,metal,1,19.0,46.0,39.0,7.492203042618741,8.2,landscape,34500000.0,17.356469882001587
윤정민,other,other,0,0.0,22.0,43.0,6.852242569051878,4.97,portrait,2070000.0,14.543059165241552
김재규,other,other,1,49.0,43.0,23.0,6.8966943316227125,5.11,landscape,6900000.0,15.747031969567487
이수홍,other,other,1,5.0,40.0,80.0,8.070906088787819,13.21,portrait,19320000.0,16.776651386748647
정현철,other,panel,1,90.0,85.0,320.0,10.210972252284089,123.61,portrait,13800000.0,16.440179150127435
함도하,other,paper,1,17.0,35.0,35.0,7.110696122978827,5.78,square,5244000.0,15.472595123865728
김아라,pigment,canvas,1,1.8,61.8,61.8,8.24780672892729,16.93,square,2400000.0,14.690979295318174
박기,other,metal,1,52.0,39.0,33.0,7.160069207596127,5.96,landscape,19320000.0,16.776651386748647
유의정,other,other,1,49.0,30.0,30.0,6.802394763324311,4.65,square,12420000.0,16.334818634469606
이봄이,other,other,0,0.0,58.0,25.0,7.27931883541462,6.7,landscape,607200.0,13.316613505063556
함도하,acrylic,other,1,40.0,40.0,30.0,7.090076835776092,5.71,landscape,11040000.0,16.217035598813222
이므지빈,other,other,1,70.0,30.0,40.0,7.090076835776092,5.71,portrait,6348000.0,15.663650360628436
이종빈,other,other,1,5.0,84.0,29.0,7.798112628829788,10.08,landscape,6624000.0,15.706209975047232
도준나,other,other,1,24.0,40.0,24.0,6.866933284461882,5.03,landscape,662400.0,13.403624882053188
전장연,other,metal,1,9.0,29.0,35.0,6.922643891475888,5.19,portrait,883200.0,13.691306954504968
이봄이,other,other,0,0.0,29.0,21.0,6.411818267709897,3.04,landscape,814200.0,13.609961315051017
박기,other,metal,0,0.0,60.0,50.0,8.006367567650246,11.9,landscape,13800000.0,16.440179150127435
남춘모,other,other,0,0.0,30.0,21.5,6.4692503167957724,3.21,landscape,5244000.0,15.472595123865728
이병호,other,other,1,22.0,56.0,32.0,7.491087593534876,8.2,landscape,22080000.0,16.91018277937317
유의정,other,other,1,32.5,22.5,22.5,6.2270306184207485,2.32,square,5520000.0,15.52388841825328
최수앙,oil,other,1,65.0,108.0,101.0,9.29725174396548,51.39,square,27600000.0,17.133326330687378
김규,other,panel,0,0.0,19.0,14.5,5.6185876285929695,0.22,landscape,690000.0,13.444446876573442
이규영,pigment,other,1,160.0,130.0,130.0,9.735068900911164,82.44,square,9522000.0,16.0691154687366
백진기,other,other,1,45.0,102.0,45.0,8.431635303054591,21.12,landscape,20700000.0,16.8456442582356
권대훈,acrylic,linen,1,35.0,150.0,80.0,9.392661928770137,56.82,landscape,24840000.0,17.027965815029553
최문석,other,panel,1,25.0,80.0,55.0,8.389359819906353,19.97,landscape,6210000.0,15.64167145390966
김아라,acrylic,canvas,1,4.0,40.9,24.2,6.897482696211397,5.11,landscape,1200000.0,13.997832114758229
양승원,other,metal,1,20.0,90.0,140.0,9.441452092939569,59.81,portrait,7176000.0,15.78625268272077
왕현민,other,other,1,40.0,200.0,40.0,8.987196820661973,39.79,landscape,16928460.0,16.644506787184003
황규민,other,other,1,40.0,72.0,23.0,7.412160334945205,7.68,landscape,966000.0,13.780919113194654
윤정민,other,other,0,0.0,38.0,20.0,6.633318433280377,3.77,landscape,1656000.0,14.319915613927344
정현철,other,panel,1,120.0,150.0,245.0,10.511893504640982,141.46,portrait,13800000.0,16.440179150127435
김규,other,panel,0,0.0,31.0,33.0,6.930494765951626,5.21,square,2070000.0,14.543059165241552
유의정,other,other,1,28.0,20.0,20.0,5.991464547107982,1.4,square,5520000.0,15.52388841825328
정현철,other,paper,1,60.0,55.0,37.0,7.618251097876695,8.9,landscape,2760000.0,14.830741237693331
백진기,other,other,1,15.0,55.0,60.0,8.101677747454572,13.93,square,7176000.0,15.78625268272077
백진기,other,other,1,24.0,30.0,58.0,7.461640392208575,8.05,portrait,4416000.0,15.300744866939068
윤주동,other,other,0,0.0,45.0,45.8,7.630946580890459,8.98,square,16560000.0,16.62250070692139
최수앙,oil,other,1,58.0,46.0,37.0,7.43955930913332,7.89,landscape,27600000.0,17.133326330687378
박찬별,other,other,1,5.0,40.0,9.0,5.886104031450156,1.01,landscape,2000000.0,14.50865773852422
윤주동,other,other,1,59.7,61.0,59.7,8.200205884571869,16.0,square,2760000.0,14.830741237693331
윤주동,other,other,1,94.0,91.4,94.0,9.058540260730108,42.16,square,6900000.0,15.747031969567487
최문석,other,panel,1,15.0,60.0,35.0,7.649692623711514,9.09,landscape,4140000.0,15.236206345801495
최수앙,oil,other,1,59.0,68.0,48.0,8.090708716083997,13.67,landscape,22080000.0,16.91018277937317
송필,pigment,metal,1,13.0,35.0,38.0,7.1929342212158,6.14,square,6624000.0,15.706209975047232
최수앙,oil,other,1,24.0,93.0,30.0,7.933796874815411,11.22,landscape,22080000.0,16.91018277937317
백진기,other,other,1,34.0,33.0,13.0,6.061456918928017,1.68,landscape,4692000.0,15.361369488755503
박기,other,metal,1,39.0,52.0,31.0,7.385230923066573,7.47,landscape,19320000.0,16.776651386748647
김아라,acrylic,canvas,1,5.8,155.8,154.6,10.08941426958997,114.29,square,9600000.0,16.077273656438063
홍미희,mixed,other,0,0.0,80.0,30.0,7.783224016336037,9.97,landscape,2500000.0,14.73180128983843
유의정,other,other,1,38.5,30.0,30.0,6.802394763324311,4.65,square,9660000.0,16.0835042061887
유의정,other,other,1,29.0,43.5,29.0,7.140056768081112,5.89,landscape,12420000.0,16.334818634469606
정윤주,mixed,paper,1,21.0,58.0,55.0,8.06777619577889,13.14,square,4000000.0,15.201804919084164
차건우,other,metal,1,95.0,160.0,70.0,9.323669057283183,52.84,landscape,19044000.0,16.762262649296545
양승원,other,metal,1,40.0,90.0,80.0,8.881836305004146,34.16,landscape,7176000.0,15.78625268272077
송필,pigment,metal,1,12.0,36.0,46.0,7.412160334945205,7.68,portrait,7728000.0,15.86036065487449
