width_cm,height_cm,depth_cm,area_cm2,log_area,aspect_ratio,has_depth,is_3d_candidate,medium_category,support_category,medium_support_bucket,is_extreme_aspect_ratio,is_training_candidate,_track6_row_id,collected_material_raw,nant_support,nant_tool,nant_material_note,nant_material_match_method,nant_material_idx
130.5,97.0,2.5,12658.5,9.44608420526613,1.345360824742268,True,False,mixed_media,canvas,mixed_media__canvas,False,True,85,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
53.0,41.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,False,True,86,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
117.0,91.0,3.0,10647.0,9.273033441314606,1.2857142857142858,True,False,acrylic,canvas,acrylic__canvas,False,True,87,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
91.0,117.0,3.0,10647.0,9.273033441314606,1.2857142857142858,True,False,acrylic,canvas,acrylic__canvas,False,True,88,acrylic,캔버스,아크릴,rule_based_material_parse,rule_material_parse,2.0
38.0,46.0,4.0,1748.0,7.466227556215481,1.2105263157894737,True,False,oil,linen,oil__linen,False,True,89,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
61.0,73.0,4.0,4453.0,8.401333305321703,1.1967213114754098,True,False,oil,linen,oil__linen,False,True,90,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
35.0,35.0,5.0,1225.0,7.110696122978827,1.0,True,False,oil,linen,oil__linen,False,True,92,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
73.0,91.0,3.0,6643.0,8.80131894766524,1.2465753424657535,True,False,oil,linen,oil__linen,False,True,93,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
38.0,46.0,4.0,1748.0,7.466227556215481,1.2105263157894737,True,False,oil,linen,oil__linen,False,True,95,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
53.0,72.7,2.0,3853.1,8.256633298091595,1.3716981132075472,True,False,mixed_media,canvas,mixed_media__canvas,False,True,97,"oil, acrylic, enamel, gesso, gouache",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
60.6,72.7,2.5,4405.62,8.390636277614743,1.1996699669966997,True,False,mixed_media,canvas,mixed_media__canvas,False,True,98,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
24.5,33.5,2.0,820.75,6.710218556381702,1.3673469387755102,True,False,mixed_media,canvas,mixed_media__canvas,False,True,99,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
24.2,33.4,2.0,808.28,6.694908533145296,1.3801652892561984,True,False,mixed_media,canvas,mixed_media__canvas,False,True,101,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
15.0,20.0,1.2,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,mixed_media__canvas,False,True,102,"airbrush, gesso, gouache, oil, enamel",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
193.5,59.5,2.7,11513.25,9.35125382502142,3.2521008403361344,True,False,oil,canvas,oil__canvas,False,True,103,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
162.2,130.3,2.8,21134.66,9.958669625812112,1.244819646968534,True,False,mixed_media,canvas,mixed_media__canvas,False,True,104,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
41.0,53.0,1.8,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,False,True,105,"acrylic, gesso, gouache, oil, enamel",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
45.5,53.0,2.5,2411.5,7.788004239509027,1.164835164835165,True,False,mixed_media,canvas,mixed_media__canvas,False,True,106,"oil, acrylic, enamel, gesso, gouache",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
31.9,31.9,2.8,1017.61,6.925212019581598,1.0,True,False,oil,canvas,oil__canvas,False,True,107,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
162.2,112.1,5.0,18182.62,9.808221471759428,1.446922390722569,True,False,mixed_media,canvas,mixed_media__canvas,False,True,109,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
20.0,30.0,1.8,600.0,6.396929655216146,1.5,True,False,mixed_media,canvas,mixed_media__canvas,False,True,110,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
12.0,12.0,0.7,144.0,4.969813299576001,1.0,True,False,mixed_media,canvas,mixed_media__canvas,False,True,113,"oil, acrylic, enamel, gesso, gouache",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
182.1,116.8,1.8,21269.28,9.965019057127687,1.5590753424657535,True,False,mixed_media,linen,mixed_media__linen,False,True,117,"ink, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,oil__linen,False,True,118,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,oil__linen,False,True,119,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
