candidate_label,eval_split,n,MdAPE,MAPE,p95_APE,RMSE_log,delta_vs_current_pp258_MdAPE,delta_vs_current_pp258_MAPE,delta_vs_current_pp258_p95_APE,delta_vs_current_pp258_RMSE_log
min1_route_w850_risk_q80_althigher_gap010,test,607,0.10659775415481275,0.2416030048296815,0.791362101574755,0.3784333619527356,-0.03437864647171508,-0.028285190949464356,-0.01596260571669139,-0.019020467598534818
min1_route_w625_risk_q60_althigher_gap005,test,607,0.10705866019596119,0.24160452259792867,0.7791959634055454,0.3777465596705529,-0.03391774043056664,-0.02828367318121719,-0.02812874388590092,-0.019707269880717526
min1_route_w625_risk_q70_althigher_gap005,test,607,0.10705866019596119,0.24160884891648785,0.7791959634055454,0.3777952210057453,-0.03391774043056664,-0.02827934686265801,-0.02812874388590092,-0.01965860854552509
min1_route_w850_spread_ge060,test,607,0.10186493463626753,0.24162135141311816,0.7740983466158026,0.38003557966731416,-0.0391114659902603,-0.028266844366027694,-0.033226360675643773,-0.01741824988395624
min1_route_w850_high_plus_price,test,607,0.1056244418332164,0.24163219028944846,0.7740983466158026,0.380621607126126,-0.03535195879331143,-0.028256005489697394,-0.033226360675643773,-0.016832222425144372
min1_route_w850_risk_q80_althigher_gap005,test,607,0.10659775415481275,0.24163232851090086,0.791362101574755,0.3784576802566711,-0.03437864647171508,-0.028255867268245,-0.01596260571669139,-0.018996149294599307
min1_route_w800_very_high_price,test,607,0.10659775415481275,0.2416654560510516,0.7847419795553487,0.37838312741525476,-0.03437864647171508,-0.028222739728094248,-0.022582727736097596,-0.019070702136015638
min1_route_w625_risk_q50_althigher_gap010,test,607,0.10705866019596119,0.24168285190577263,0.7791959634055454,0.37713804136213114,-0.03391774043056664,-0.02820534387337323,-0.02812874388590092,-0.02031578818913926
min1_route_w775_risk_q50_althigher_gap005,test,607,0.10631555453141896,0.24173881725425123,0.7814626507472144,0.3785131887024019,-0.034660846095108874,-0.02814937852489463,-0.025862056544231904,-0.018940640848868484
min1_route_w775_risk_q50_althigher_gap010,test,607,0.10573512980995432,0.24174063096158352,0.7814626507472144,0.37862161338328976,-0.03524127081657351,-0.028147564817562337,-0.025862056544231904,-0.018832216167980642
